avg5,est9,rank
1,1.39,4
1.1,1.57,7
1.2,1.79,10
1.3,1.97,14
1.4,2.15,18
1.5,2.31,23
1.6,2.48,28
1.7,2.66,35
1.8,2.82,41
1.9,2.98,48
2,3.16,57
2.1,3.31,64
2.2,3.46,73
2.3,3.62,82
2.4,3.78,91
2.5,3.95,101
2.6,4.11,110
2.7,4.26,121
2.8,4.42,133
2.9,4.58,144
3,4.75,156
